"id","text","label","attack_type","risk_level","language","source_type","contains_url","suspicious_keywords","explanation","synthetic_generated"
"1","Your order has been shipped successfully.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"2","Your CIH Bank account has been suspended. Verify immediately: https://woods.net/","phishing","banking","critical","en","url","1","urgent, security, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"3","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://gonzalez.com/","phishing","banking","critical","ar","url","1","click, delivery, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"4","Urgent! Confirm your password now to avoid account deletion: https://coleman.com/","phishing","job_scam","critical","en","url","1","confirm, suspended, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"5","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://rojas-sparks.org/","phishing","banking","medium","fr","social_media","1","confirm, suspended, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"6","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://hayes.info/","phishing","banking","medium","fr","social_media","1","confirm, click, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"7","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://leonard.com/","phishing","job_scam","medium","ar","sms","1","verify, bitcoin, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"8","Votre colis est bloqué. Cliquez ici : http://white.org/","phishing","social_media","medium","fr","social_media","1","verify, password, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"9","Thank you for your recent purchase.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"10","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://rangel-rodriguez.com/","phishing","crypto_scam","critical","ar","social_media","1","urgent, click, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"11","Votre compte Instagram a été suspendu. Vérifiez immédiatement : https://reynolds.net/","phishing","social_media","medium","fr","social_media","1","click, delivery, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"12","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"13","You won 2 BTC. Claim your reward here: https://meza.com/","phishing","crypto_scam","critical","en","url","1","bitcoin, confirm, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"14","Your order has been shipped successfully.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"15","Urgent! Confirm your password now to avoid account deletion: https://bradford-dillon.com/","phishing","banking","critical","en","sms","1","bitcoin, verify, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"16","Votre compte Facebook a été suspendu. Vérifiez immédiatement : http://parker.info/","phishing","social_media","critical","fr","email","1","security, suspended, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"17","Thank you for your recent purchase.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"18","You won 2 BTC. Claim your reward here: http://wilson.com/","phishing","fake_support","critical","en","sms","1","security, verify, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"19","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"20","Votre compte Attijariwafa Bank a été suspendu. Vérifiez immédiatement : https://alexander-figueroa.com/","phishing","delivery","critical","fr","social_media","1","delivery, urgent, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"21","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"22","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: https://dixon-delacruz.com/","phishing","banking","medium","ar","sms","1","password, delivery, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"23","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://hart.net/","phishing","crypto_scam","medium","ar","sms","1","suspended, bitcoin, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"24","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"25","Your PayPal account has been suspended. Verify immediately: http://combs-brown.net/","phishing","social_media","critical","en","sms","1","click, urgent, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"26","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"27","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"28","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://campbell.org/","phishing","delivery","critical","ar","url","1","click, delivery, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"29","Your package delivery failed. Update your address now: https://duran.com/","phishing","fake_support","high","en","url","1","bitcoin, delivery, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"30","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"31","Votre compte CIH Bank a été suspendu. Vérifiez immédiatement : https://johnson.com/","phishing","social_media","medium","fr","sms","1","click, delivery, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"32","Votre compte Instagram a été suspendu. Vérifiez immédiatement : http://evans-mcgrath.com/","phishing","delivery","high","fr","email","1","urgent, security, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"33","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"34","Your Attijariwafa Bank account has been suspended. Verify immediately: https://nguyen.com/","phishing","credential_theft","medium","en","url","1","urgent, bitcoin, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
